,date,open,low,high,close,volume
185,2020-11-17 13:00:00,120.36,120.28,120.485,120.47,40861731
186,2020-11-17 12:00:00,119.91,119.6808,120.155,120.155,34329302
187,2020-11-17 11:00:00,119.6,119.6,120.5,120.4,25028891
188,2020-11-17 10:00:00,120.3,119.005,120.3,119.1115,12936401
189,2020-11-16 16:00:00,119.9889,119.74,120.17,120.13,81166957
190,2020-11-16 15:00:00,120.3001,119.81,120.335,119.8999,67803883
191,2020-11-16 14:00:00,120.485,120.0103,120.5793,120.205,60324420
192,2020-11-16 13:00:00,120.8431,120.28,120.8731,120.41,52259960
193,2020-11-16 12:00:00,120.65,120.315,120.82,120.7398,43851334
194,2020-11-16 11:00:00,120.6523,120.6324,120.6523,120.65,34553449
195,2020-11-16 10:00:00,119.86,119.45,119.9908,119.891,17208368
196,2020-11-13 16:00:00,118.9401,118.83,119.5601,119.3493,73886252
197,2020-11-13 15:00:00,118.695,118.205,118.8899,118.885,58545638
198,2020-11-13 14:00:00,118.9466,118.5,119.225,118.57,51025438
199,2020-11-13 13:00:00,118.9493,118.82,118.9493,118.9466,43274698
